Title,Corresponding author,country,institute,Year,Sample Name,Pt at% in Metal Element,Pd at% in metal element,Au at% in Metal Element,Ir at% in metal element,Ru at% in metal element,Ni at% in Metal Element,Co at% in Metal Element,Fe at% in metal element,Mn at% in metal element,Zn at% in metal element,Cu at% in Metal Element,Ti at% in metal element,Cr at% in metal element,Mo at% in metal element,Ag at% in metal element,V at% in metal element,Sc at% in metal element,W at% in metal element,Os at% in metal element,Ga at% in metal element,Total Metal Mass Ratio wt%,N at%,Sn at%,S at%,O at%,Ti at%,Ta at%,Nb at%,Si at%,W at%,C wt%,Particle Diameter (nm),Particle variance,carbon substrate type,carbon particle diameter(nm),Support BET Surface Area(m2/g),special sturcture,particle,nanowire,core-shell,Wet Reduction Temperature (⊥),Wet Reduction Time (min),mircrowave(0/1),Reducing agent( chemical name in english),polyhydric alcohols,heat reduction,inorganic reducing agent,organic reducing agent,pH,Annealing Temperature (⊥),Annealing Time (h),Atomosphere h2,Atomosphere inert,Electrochemical Active Surface Area (m2/g),Catalyst Mass Activity (mA mg-1),Catalyst Specific Activity (mA cm-2),Half wave potential ㄗV vsRHEㄘ,Onset Potential ㄗV vsRHEㄘ,ADT cycles,Reduce in half wave potential  mV,Reduce in MA/ mA mg-1,Reduce in SA/mA cm-2,I/C Ratio(Ionomer/Catalyst),Active Area (cm2),Cathode Platinum Loading (mgPt cm-2),Anode Platinum Loading(mgPt cm-2),Anodic Catalyst Type x wt% Pt/C,Membrane,Membrane Thickness (米m),Hot Press Temperature (⊥),Hot Press Time (min),Hot Press Pressure (Mpa),Humidity %,GDE for 1/CCM for 0,Cell Temperature (⊥),Flowing Rate of Anode Gas (H2) (ml min-1),Flowing Rate of Cathode Gas(O2/air) (ml min-1),stoichiometry/anode,stoichiometry/cathode,stoich to flow anode,stoich to flow cathode,Backpressure (Mpa),"Current decay at 0.6V(ma,cm2)",Cathode Gas Oxygen Ratio,Maximum Power Density mW cm-2,MPD caculated,qualified,Open Circuit Voltage V,Voltage 100mA cm0,Voltage 200mA cm0,Voltage 300mA cm0,Voltage 400mA cm0,Voltage 500mA cm0,Voltage 600mA cm0,Voltage 700mA cm0,Voltage 800mA cm0,Voltage 900mA cm0,Voltage 1000mA cm0,Voltage 1100mA cm0,Voltage 1200mA cm0,Voltage 1300mA cm0,Voltage 1400mA cm0,Voltage 1500mA cm0,Voltage 1600mA cm0,Voltage 1700mA cm0,Voltage 1800mA cm0,Voltage 1900mA cm0,Voltage 2000mA cm0,Voltage 2100mA cm0,Voltage 2200mA cm0,Voltage 2300mA cm0,Voltage 2400mA cm0,Voltage 2500mA cm0,Voltage 2600mA cm0,Voltage 2700mA cm0,Voltage 2800mA cm0,Voltage 2900mA cm0,Voltage 3000mA cm0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrogen doped mesoporous carbon supported Pt electrocatalyst for oxygen reduction reaction in proton exchange membrane fuel cells,G. Ranga Rao,India,Indian Institute of Technology Madras,2018,Pt/NMC-1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11.6,0,0,0,0,0,0,0,0,70,1.9,,home-made nitrogen-doped carbon,,,none,1,0,0,120,1440,0,ethylene glycol,1,0,0,0,10,25,0,0,0,73,225,0.308219178,0.702,0.81,,,,,,30,0.5,0.25,20,nafion 212,50,130,2.5,9.8,95,1,70,500,1000,,,0,0,0,,1,315,315,0,0.908,0.8,0.735,0.685,0.635,0.575,0.525,0.45,0.33,0.145,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,80,147,205.5,254,287.5,315,315,264,130.5,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,315
Nitrogen doped mesoporous carbon supported Pt electrocatalyst for oxygen reduction reaction in proton exchange membrane fuel cells,G. Ranga Rao,India,Indian Institute of Technology Madras,2018,Pt/NMC-2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6.5,0,0,0,0,0,0,0,0,73,5.25,,home-made nitrogen-doped carbon,,,none,1,0,0,120,1440,0,ethylene glycol,1,0,0,0,10,25,0,0,0,59,225,0.381355932,0.658,0.8,,,,,,30,0.5,0.25,20,nafion 212,50,130,2.5,9.8,95,1,70,500,1000,,,0,0,0,,1,280,280,0,0.902,0.76,0.695,0.62,0.56,0.5,0.45,0.4,0.34,0.3,0.25,0.2,0.16,0.12238,0.08898,0.05914,0.0323,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,76,139,186,224,250,270,280,272,270,250,220,192,159.094,124.572,88.71,51.68,17,18,19,20,21,22,23,24,25,26,27,28,29,30,280
Nitrogen doped mesoporous carbon supported Pt electrocatalyst for oxygen reduction reaction in proton exchange membrane fuel cells,G. Ranga Rao,India,Indian Institute of Technology Madras,2018,Pt/NMC-2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6.5,0,0,0,0,0,0,0,0,73,5.25,,home-made nitrogen-doped carbon,,,none,1,0,0,120,1440,0,ethylene glycol,1,0,0,0,10,25,0,0,0,59,225,0.381355932,0.658,0.8,,,,,,30,0.5,0.25,20,nafion 212,50,130,2.5,9.8,95,1,70,500,1000,,,0,0,0,,1,170,170,0,0.902,0.7,0.6,0.5,0.42,0.34,0.25,0.15,0.05909,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,70,120,150,168,170,150,105,47.272,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,170
Oxide?Carbon Nanofibrous Composite Support for a Highly Active and Stable Polymer Electrolyte Membrane Fuel-Cell Catalyst,Yong-Gun Shul,korea,Yonsei University,2018,CNF/TiO2?Pt,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.68,0,0,0,20.3,14.7,0,0,0,0,26.15,3.8,,carbon nanofiber/oxide hybrid,,107.8,none,1,0,0,25,180,0,ethylene glycol,1,0,0,0,11,400,6,1,0,115.3,217,0.188204683,0.86,0.99,,,,,,1,0.4,0.4,40,nafion 212,50,,,,100,0,75,150,225,1,1.5,150,225,0,,1,1000,1000,0,0.985,0.92,0.89,0.86,0.84,0.815,0.8,0.775,0.75,0.725,0.705,0.69,0.665,0.65,0.625,0.61,0.6,0.57,0.55,0.52,0.5,0.475,0.445,0.415,0.395,0.36,0.325,0.29195,0.26241,0.23583,0.21179,92,178,258,336,407.5,480,542.5,600,652.5,705,759,798,845,875,915,960,969,990,988,1000,997.5,979,954.5,948,900,845,788.265,734.748,683.907,635.37,1000
Oxide?Carbon Nanofibrous Composite Support for a Highly Active and Stable Polymer Electrolyte Membrane Fuel-Cell Catalyst,Yong-Gun Shul,korea,Yonsei University,2018,CNF/TiO2?Pt,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.68,0,0,0,20.3,14.8,0,0,0,0,26.15,3.8,,carbon nanofiber/oxide hybrid,,107.8,none,1,0,0,25,180,0,ethylene glycol,1,0,0,0,11,400,6,1,0,115.3,217,0.188204683,0.86,0.99,,,,,,1,0.4,0.4,40,nafion 212,50,,,,50,0,75,150,225,1,1.5,150,225,0,,1,855,855,0,0.95,0.82,0.785,0.76,0.73,0.71,0.7,0.68,0.66,0.645,0.625,0.61,0.6,0.575,0.55,0.53,0.51,0.49,0.465,0.45,0.425,0.4,0.38,0.355,0.33,0.3,0.27156,0.24592,0.2227,0.20157,0.18225,82,157,228,292,355,420,476,528,580.5,625,671,720,747.5,770,795,816,833,837,855,850,840,836,816.5,792,750,706.056,663.984,623.56,584.553,546.75,855
Anchoring ultrafine Pt nanoparticles on the 3D hierarchical self-assembly of graphene/functionalized carbon black as a highly efficient oxygen reduction catalyst for PEMFCs,Zhigang Shao,china,Dalian Institute of Chemical PhysicsㄛChinese Academy of Sciences,2018,Pt/rGO1每FCB2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,84,1.9,,graphene,,269,none,1,0,0,140,720,0,ethylene glycol,1,0,0,0,10,25,0,0,0,62.1,249,0.400966184,0.886,1,3000,7,,,,4,0.18,0.3,,nafion 211,25,,,,100,1,65,,,,,0,0,0.05,,1,1358,1358,1,0.98,0.865,0.84,0.815,0.8,0.775,0.755,0.745,0.73,0.715,0.7,0.695,0.68,0.67,0.655,0.65,0.64,0.625,0.615,0.6,0.59,0.575,0.56,0.55,0.54,0.525,0.515,0.495,0.485,0.46,0.45,86.5,168,244.5,320,387.5,453,521.5,584,643.5,700,764.5,816,871,917,975,1024,1062.5,1107,1140,1180,1207.5,1232,1265,1296,1312.5,1339,1336.5,1358,1334,1350,1358
Preparation of an octahedral PtNi/CNT catalyst and its application in high durability PEMFC cathodes,Bing Li,China,Tongji University,2018,Oct PtNi/CNTs,48.2,0,0,0,0,51.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5,0,0,0,0,0,0,0,0,0,60.5,12.8,,CNTs,,120,none,1,0,0,160,720,0,dimethylformamide,0,0,0,1,7,25,0,0,0,34.8,479,1.376436782,0.915,1.05,2000,,160.94,0.11,0.33,25,0.4,0.2,40,Gore membrane,15,,,,80,1,80,255,450,1.7,3,255,450,0,,0.21,432,432,0,0.915,0.802,0.77,0.73,0.7,0.675,0.643,0.6,0.54,0.465,0.38,0.30218,0.23647,0.18025,0.1316,0.0891,0.05164,0.01838,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,80.2,154,219,280,337.5,385.8,420,432,418.5,380,332.398,283.764,234.325,184.24,133.65,82.624,31.246,18,19,20,21,22,23,24,25,26,27,28,29,30,432
A facile synthesis and assembly of ultrasmall Pt nanoparticles on reduced graphene oxide carbon black hybrid for enhanced performance in PEMFC,?nder Metin,turkey,Atat邦rk University,2018,Pt/rGO-VC,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,78,1.2,0.2,XC-72R/R-GO hybrid,,,none,1,0,0,100,60,0,morpholine borane,0,0,1,0,7,400,1,1,0,87,8.67,0.009965517,0.81,0.95,,,,,,5,0.35,0.35,30,nafion 212,50,135,5,2,100,1,80,500,500,,,0,0,0,,1,861,861,0,1,0.835,0.79,0.77,0.735,0.72,0.7,0.675,0.66,0.635,0.62,0.6,0.58,0.565,0.54,0.525,0.505,0.485,0.47,0.45,0.43,0.41,0.38,0.36,0.34,0.32,0.29,0.27,0.24,0.21,0.18156,83.5,158,231,294,360,420,472.5,528,571.5,620,660,696,734.5,756,787.5,808,824.5,846,855,860,861,836,828,816,800,754,729,672,609,544.68,861
A facile synthesis and assembly of ultrasmall Pt nanoparticles on reduced graphene oxide carbon black hybrid for enhanced performance in PEMFC,?nder Metin,turkey,Atat邦rk University,2018,Pt/VC,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,78,1.3,0.3,XC-72R,30,230,none,1,0,0,100,60,0,morpholine borane,0,0,1,0,7,400,1,1,0,50,0.84,0.00168,0.75,0.95,,,,,,5,0.35,0.35,30,nafion 212,50,135,5,2,100,1,80,500,500,,,0,0,0,,1,739.5,739.5,0,1,0.815,0.775,0.74,0.72,0.69,0.675,0.65,0.63,0.605,0.59,0.56,0.54,0.52,0.5,0.48,0.46,0.435,0.41,0.38,0.355,0.33,0.3,0.27,0.235,0.215,0.19586,0.17828,0.1621,0.14714,0.13327,81.5,155,222,288,345,405,455,504,544.5,590,616,648,676,700,720,736,739.5,738,722,710,693,660,621,564,537.5,509.236,481.356,453.88,426.706,399.81,739.5
A facile synthesis and assembly of ultrasmall Pt nanoparticles on reduced graphene oxide carbon black hybrid for enhanced performance in PEMFC,?nder Metin,turkey,Atat邦rk University,2018,Pt/rGO,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,78,1.4,0.4,graphene,,600,none,1,0,0,100,60,0,morpholine borane,0,0,1,0,7,400,1,1,0,54,5.79,0.010722222,0.72,0.95,,,,,,5,0.35,0.35,30,nafion 212,50,135,5,2,100,1,80,500,500,,,0,0,0,,1,690,690,0,1,0.84,0.8,0.77,0.735,0.71,0.685,0.665,0.64,0.61,0.59,0.56,0.54,0.51,0.49,0.46,0.43,0.4,0.365,0.335,0.3,0.27,0.23,0.19238,0.15898,0.12914,0.1023,0.07805,0.05602,0.03592,0.01751,84,160,231,294,355,411,465.5,512,549,590,616,648,663,686,690,688,680,657,636.5,600,567,506,442.474,381.552,322.85,265.98,210.735,156.856,104.168,52.53,690
A highly durable carbon-nanofiber-supported Pt每C core每shell cathode catalyst for ultra-low Pt loading proton exchange membrane fuel cells:facile carbon encapsulation,Oh Joong Kwon,korea,Incheon National University,2019,Pt@CS/CNF600,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1,3.11,0,0,0,0,0,0,0,0,49.7,3.3,0.7,nitrogen-doped carbon nanofiber,,,core-shell,0,0,1,25,0,0,none,0,1,0,0,7,600,1,0,1,95.6,55,0.057531381,0.875,1,10000,-14,,,,5,0.1,0.025,20,nafion 212,50,,,,100,0,80,150,800,,,0,0,0,,0.21,600,600,0,0.93,0.8,0.75,0.715,0.7,0.66,0.64,0.61,0.6,0.565,0.55,0.515,0.5,0.46,0.415,0.37,0.3,0.2,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,80,150,214.5,280,330,384,427,480,508.5,550,566.5,600,598,581,555,480,340,54,19,20,21,22,23,24,25,26,27,28,29,30,600
A highly durable carbon-nanofiber-supported Pt每C core每shell cathode catalyst for ultra-low Pt loading proton exchange membrane fuel cells:facile carbon encapsulation,Oh Joong Kwon,korea,Incheon National University,2019,Pt@CS/CNF700,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1,2.82,0,0,0,0,0,0,0,0,51.9,3.6,0.7,nitrogen-doped carbon nanofiber,,,core-shell,0,0,1,25,0,0,none,0,1,0,0,7,700,1,0,1,100.5,66.5,0.066169154,0.88,1,10000,-5,,,,5,0.1,0.025,20,nafion 212,50,,,,100,0,80,150,800,,,0,0,0,,0.21,576,576,0,0.89,0.8,0.75,0.725,0.7,0.67,0.64,0.625,0.6,0.575,0.545,0.505,0.48,0.43,0.375,0.29,0.2,0.1178,0.04871,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,80,150,217.5,280,335,384,437.5,480,517.5,545,555.5,576,559,525,435,320,200.26,87.678,19,20,21,22,23,24,25,26,27,28,29,30,576
