Title,Corresponding author,country,institute,Year,Sample Name,Pt at% in metal element,Pd at% in metal element,Au at% in metal element,Ir at% in metal element,Ru at% in metal element,Ni at% in metal element,Co at% in metal element,Fe at% in metal element,Mn at% in metal element,Zn at% in metal element,Cu at% in metal element,Ti at% in metal element,Cr at% in metal element,Mo at% in metal element,Ag at% in metal element,V at% in metal element,Sc at% in metal element,W at% in metal element,Os at% in metal element,Ga at% in metal element,total metal mass ratio wt%,N at%,Sn at%,S at%,O at%,Ti at%,Ta at%,Nb at%,Si at%,W at%,C wt%,Particle diameter ㄗnmㄘ,Particle variance,carbon substrate type,carbon particle diameter(nm),support BET surface area(m2/g),special sturcture,particle,nanowire,core-shell,Reduction Temperature,Reduction Time/min,mircrowave(0/1),Reducing agent( chemical name in english),polyhydric alcohols,heat reduction,inorganic reducing agent,organic reducing agent,pH,Annealing Temperature,Annealing Time/h,Atomosphere h2,Atomosphere inert,ECSA m2/g,Mass Activity mA mg-1,Specific Activity mA cm-2,Half wave potential ㄗV vsRHEㄘ,Onset Potential ㄗV vsRHEㄘ,ADT cycles,Reduce in half wave potential  mV,Reduce in MA/ mA mg-1,Reduce in SA/mA cm-2,I/C Ratio(ionomer/catalyst),Area cm2,Cathodic Loading Amount mgPt cm-2,Anodic Platinum Loading Amount mgPt cm-2,Anodic catalyst type x wt% Pt/C,Membrane,membrane thickness,Hot Press Temperature,Hot Press Time min,Hot Press Pressure Mpa,Humidity %,GDE for 1,celltemp,Flowing rate of H2 ml min-1,flowing rate of cathode gas(O2/air),stoichiometry/anode,stoichiometry/cathode,stoich to flow anode,stoich to flow cathode,Back Pressure Mpa,"Current decay at 0.6V(ma,cm2)",Cathode gas oxygen ratio,Maximum Power Density mW cm-2,MPD caculated,qualified,Open Circuit Voltage V,Voltage 100mA cm0,Voltage 200mA cm0,Voltage 300mA cm0,Voltage 400mA cm0,Voltage 500mA cm0,Voltage 600mA cm0,Voltage 700mA cm0,Voltage 800mA cm0,Voltage 900mA cm0,Voltage 1000mA cm0,Voltage 1100mA cm0,Voltage 1200mA cm0,Voltage 1300mA cm0,Voltage 1400mA cm0,Voltage 1500mA cm0,Voltage 1600mA cm0,Voltage 1700mA cm0,Voltage 1800mA cm0,Voltage 1900mA cm0,Voltage 2000mA cm0,Voltage 2100mA cm0,Voltage 2200mA cm0,Voltage 2300mA cm0,Voltage 2400mA cm0,Voltage 2500mA cm0,Voltage 2600mA cm0,Voltage 2700mA cm0,Voltage 2800mA cm0,Voltage 2900mA cm0,Voltage 3000mA cm0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pt use,,Rand,Rand num,Year for plot
In?uence of atomic ordering on the electrocatalytic activity of Pt每Co alloys in alkaline electrolyte and proton exchange membrane fuel cells,Arumugam Manthiram,United States,University of Texas at Austin,2004,PtCo/C,54.75638051,0,0,0,0,0,45.24361949,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,5.6,,XC-72R,30,230,none,1,0,0,,120,0,NaBH4,0,0,1,0,9,900,1,1,0,88,180,0.204545455,,,,,,,,5,0.8,1,,nafion 117,175,130,2,,100,1,90,,,,,0,0,0,,1,374,374,0,0.95,0.72,0.66,0.6,0.57,0.53,0.5,0.46,0.44,0.4,0.37,0.34,0.3,0.26238,0.22898,0.19914,0.1723,0.14805,0.12602,0.10592,0.08751,0.07059,0.05497,0.04052,0.02711,0.01463,0.01,0.01,0.01,0.01,0.01,72,132,180,228,265,300,322,352,360,370,374,360,341.094,320.572,298.71,275.68,251.685,226.836,201.248,175.02,148.239,120.934,93.196,65.064,36.575,26,27,28,29,30,374,2.139037433,11,0.597411134,0.024665178,2004.024665
In?uence of atomic ordering on the electrocatalytic activity of Pt每Co alloys in alkaline electrolyte and proton exchange membrane fuel cells,Arumugam Manthiram,United States,University of Texas at Austin,2004,PtCo/C,54.75638051,0,0,0,0,0,45.24361949,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,5.4,,XC-72R,30,230,none,1,0,0,,720,0,ammonium hydroxide,0,0,1,0,9,900,1,1,0,88,180,0.204545455,,,,,,,,5,0.8,1,,nafion 117,175,130,2,,100,1,90,,,,,0,0,0,,1,756,756,0,0.95,0.795,0.76,0.73,0.71,0.69,0.67,0.64,0.62,0.6,0.58,0.57,0.55,0.53,0.51,0.49,0.47,0.44,0.42,0.39,0.375,0.34,0.32,0.30086,0.28328,0.2671,0.25214,0.23827,0.22539,0.21338,0.20216,79.5,152,219,284,345,402,448,496,540,580,627,660,689,714,735,752,748,756,741,750,714,704,691.978,679.872,667.75,655.564,643.329,631.092,618.802,606.48,756,1.058201058,12,0.14270881,-0.106822813,2003.893177
In?uence of atomic ordering on the electrocatalytic activity of Pt每Co alloys in alkaline electrolyte and proton exchange membrane fuel cells,Arumugam Manthiram,United States,University of Texas at Austin,2004,PtCo/C,47.58064516,0,0,0,0,0,52.41935484,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,6,,XC-72R,30,230,none,1,0,0,,720,0,ammonium hydroxide,0,0,1,0,9,900,1,1,0,88,180,0.204545455,,,,,,,,5,0.75,1,,nafion 117,175,130,2,,100,1,90,,,,,0,0,0,,1,602,602,0,0.94,0.75,0.72,0.68,0.66,0.64,0.61,0.57,0.55,0.53,0.51,0.49,0.47,0.45,0.43,0.4,0.37,0.34,0.31156,0.28592,0.2627,0.24157,0.22225,0.20452,0.1882,0.17312,0.15915,0.14617,0.13407,0.12277,0.1122,75,144,204,264,320,366,399,440,477,510,539,564,585,602,600,592,578,560.808,543.248,525.4,507.297,488.95,470.396,451.68,432.8,413.79,394.659,375.396,356.033,336.6,602,1.245847176,13,0.50598307,0.001499789,2004.0015
In?uence of atomic ordering on the electrocatalytic activity of Pt每Co alloys in alkaline electrolyte and proton exchange membrane fuel cells,Arumugam Manthiram,United States,University of Texas at Austin,2004,PtCo/C,47.58064516,0,0,0,0,0,52.41935484,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,5.6,,XC-72R,30,230,none,1,0,0,,120,0,NaBH4,0,0,1,0,9,900,1,1,0,88,180,0.204545455,,,,,,,,5,0.75,1,,nafion 117,175,130,2,,100,1,90,,,,,0,0,0,,1,604.604,604.604,0,0.92,0.73,0.675,0.65,0.625,0.59,0.57,0.55,0.53,0.5,0.48,0.465,0.44,0.42,0.4,0.38,0.36086,0.34328,0.3271,0.31214,0.29827,0.28539,0.27338,0.26216,0.25166,0.2418,0.23254,0.22382,0.21559,0.20781,0.20045,73,135,195,250,295,342,385,424,450,480,511.5,528,546,560,570,577.376,583.576,588.78,593.066,596.54,599.319,601.436,602.968,603.984,604.5,604.604,604.314,603.652,602.649,601.35,604.604,1.240481373,14,0.149003958,-0.104071483,2003.895929
Highly stable Pt每Ru/C as an anode catalyst for use in polymer electrolyte fuel cells,A. Pozio,Italy,University of Rome,2004,PtRu/C,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,3.1,,CNTs,50,120,nanowire,0,1,0,,,0,NaBH4,0,0,1,0,7,25,0,0,0,55,225,0.409090909,,,,,,,0.5,,0.61946,0.30973,13.18,nafion 112,50,,,,100,1,75,300,150,2,1,300,150,0.14,,1,1206.81,1206.81,1,0.96,0.84,0.79,0.75,0.725,0.7,0.675,0.65119,0.62955,0.60978,0.59167,0.575,0.55962,0.54537,0.53214,0.51983,0.50833,0.49758,0.4875,0.47803,0.46912,0.46071,0.45278,0.44527,0.43816,0.43141,0.425,0.4189,0.4131,0.40756,0.40227,84,158,225,290,350,405,455.833,503.64,548.802,591.67,632.5,671.544,708.981,744.996,779.745,813.328,845.886,877.5,908.257,938.24,967.491,996.116,1024.121,1051.584,1078.525,1105,1131.03,1156.68,1181.924,1206.81,1206.81,0.513303668,15,0.970511437,0.188836382,2004.188836
Preparation and characterization of carbon nanofibers as catalyst support material for PEMFC,HojinRyu,Korea,Korea Research Institute of Chemical Technology,2004,Pt/CNFs,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,3.1,,CNTs,50,120,nanowire,0,1,0,,,0,NaBH4,0,0,1,0,7,25,0,0,0,55,225,0.409090909,,,,,,,,5,0.5,0.5,20,nafion 1035,89,130,1,13.78,100,1,80,,,,,0,0,0.1,,1,520,520,0,0.96,0.76,0.71,0.67,0.64,0.6,0.58,0.55,0.52,0.5,0.47,0.45,0.43,0.4,0.37,0.32,0.2733,0.23239,0.19625,0.1641,0.1353,0.10936,0.08588,0.06452,0.04501,0.02711,0.01063,0.01,0.01,0.01,0.01,76,142,201,256,300,348,385,416,450,470,495,516,520,518,480,437.28,395.063,353.25,311.79,270.6,229.656,188.936,148.396,108.024,67.775,27.638,27,28,29,30,520,0.961538462,16,0.742927657,0.065239764,2004.06524
Pt-Co/C Electrocatalysts for Oxygen Reduction in ?H?2?/??O?2 PEMFCs Synthesized by Borohydride Method,Ernesto R. Gonzalez,Brazil,Instituto de Qu? ∩mica de Sa ?o Carlos,2004,PtCo/C,85,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,3.8,,XC-72R,30,230,none,1,0,0,,,0,NaBH4,0,0,1,0,7,500,2,0,1,55,225,0.409090909,,,,,,,,4.62,0.4,0.4,19,nafion 115,75,125,2,5,100,1,80,,,,,0,0,0.1,,1,975,975,1,0.961,0.82,0.77,0.75,0.72,0.69,0.67,0.645,0.625,0.6,0.575,0.55119,0.52955,0.50978,0.49167,0.475,0.45962,0.44537,0.43214,0.41983,0.40833,0.39758,0.3875,0.37803,0.36912,0.36071,0.35278,0.34527,0.33816,0.33141,0.325,82,154,225,288,345,402,451.5,500,540,575,606.309,635.46,662.714,688.338,712.5,735.392,757.129,777.852,797.677,816.66,834.918,852.5,869.469,885.888,901.775,917.228,932.229,946.848,961.089,975,975,0.41025641,17,0.367946175,-0.033729789,2003.96627
Structure and Activity of Carbon-Supported Pt-Co Electrocatalysts for Oxygen Reduction,Ernesto R. Gonzalez,Brazil,Instituto de Qu? ∩mica de Sa ?o Carlos,2004,PtCo/C,63.16120907,0,0,0,0,0,36.83879093,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,3.9,,XC-72R,30,230,none,1,0,0,25,0,0,none,0,1,0,0,7,550,2,1,0,55,225,0.409090909,,,,,,,0.5,4.62,0.25,0.15,20,nafion 115,75,125,2,5,100,1,80,,,,,0,0,0.1,,1,516,516,0,0.97,0.8,0.76,0.72,0.7,0.66,0.63,0.595,0.56,0.53,0.49,0.46,0.43,0.395,0.345,0.3,0.25,0.2,0.15,0.1033,0.06239,0.02625,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,80,152,216,280,330,378,416.5,448,477,490,506,516,513.5,483,450,400,340,270,196.27,124.78,55.125,22,23,24,25,26,27,28,29,30,516,0.484496124,18,0.802854079,0.085185992,2004.085186
Structure and Activity of Carbon-Supported Pt-Co Electrocatalysts for Oxygen Reduction,Ernesto R. Gonzalez,Brazil,Instituto de Qu? ∩mica de Sa ?o Carlos,2004,PtCo/C,75.3651698,0,0,0,0,0,24.6348302,0,0,0,0,0,0,0,0,0,0,0,0,0,21.978,0,0,0,0,0,0,0,0,0,78.022,17.4,,XC-72R,30,230,none,1,0,0,25,0,0,none,0,1,0,0,7,900,2,1,0,55,225,0.409090909,,,,,,,0.5,4.62,0.25,0.15,20,nafion 115,75,125,2,5,100,1,80,,,,,0,0,0.1,,1,546,546,0,0.952,0.8,0.74,0.71,0.68,0.64,0.62,0.595,0.57,0.54,0.505,0.48,0.445,0.42,0.37,0.3233,0.28239,0.24625,0.2141,0.1853,0.15936,0.13588,0.11452,0.09501,0.07711,0.06063,0.04542,0.03132,0.01823,0.01,0.01,80,148,213,272,320,372,416.5,456,486,505,528,534,546,518,484.95,451.824,418.625,385.38,352.07,318.72,285.348,251.944,218.523,185.064,151.575,118.092,84.564,51.044,29,30,546,0.457875458,19,0.464902259,-0.008809079,2003.991191
Structure and Activity of Carbon-Supported Pt-Co Electrocatalysts for Oxygen Reduction,Ernesto R. Gonzalez,Brazil,Instituto de Qu? ∩mica de Sa ?o Carlos,2004,PtCo/C,65.05858029,0,0,0,0,0,34.94141971,0,0,0,0,0,0,0,0,0,0,0,0,0,23.25,0,0,0,0,0,0,0,0,0,76.75,8.5,,XC-72R,30,230,none,1,0,0,25,0,0,none,0,1,0,0,7,900,2,1,0,55,225,0.409090909,,,,,,,0.5,4.62,0.25,0.15,20,nafion 115,75,125,2,5,100,1,80,,,,,0,0,0.1,,1,552,552,0,0.975,0.82,0.78,0.74,0.72,0.68,0.65,0.63,0.6,0.55,0.53,0.5,0.46,0.42,0.39,0.34,0.3,0.25,0.2,0.1533,0.11239,0.07625,0.0441,0.0153,0.01,0.01,0.01,0.01,0.01,0.01,0.01,82,156,222,288,340,390,441,480,495,530,550,552,546,546,510,480,425,360,291.27,224.78,160.125,97.02,35.19,24,25,26,27,28,29,30,552,0.452898551,20,0.509536975,0.002390793,2004.002391
Structure and Activity of Carbon-Supported Pt-Co Electrocatalysts for Oxygen Reduction,Ernesto R. Gonzalez,Brazil,Instituto de Qu? ∩mica de Sa ?o Carlos,2004,PtCo/C,54.75638051,0,0,0,0,0,45.24361949,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,75,6.7,,XC-72R,30,230,none,1,0,0,25,0,0,none,0,1,0,0,7,900,2,1,0,55,225,0.409090909,,,,,,,0.5,4.62,0.25,0.15,20,nafion 115,75,125,2,5,100,1,80,,,,,0,0,0.1,,1,616,616,0,0.978,0.84,0.8,0.75,0.71,0.69,0.66,0.64,0.62,0.59,0.56,0.54,0.5,0.47,0.44,0.41,0.38,0.34,0.3,0.25,0.2,0.1533,0.11239,0.07625,0.0441,0.0153,0.01,0.01,0.01,0.01,0.01,84,160,225,284,345,396,448,496,531,560,594,600,611,616,615,608,578,540,475,400,321.93,247.258,175.375,105.84,38.25,26,27,28,29,30,616,0.405844156,21,0.21016253,-0.080585743,2003.919414
