Title,Corresponding author,country,institute,Year,Sample Name,Pt at% in metal element,Pd at% in metal element,Au at% in metal element,Ir at% in metal element,Ru at% in metal element,Ni at% in metal element,Co at% in metal element,Fe at% in metal element,Mn at% in metal element,Zn at% in metal element,Cu at% in metal element,Ti at% in metal element,Cr at% in metal element,Mo at% in metal element,Ag at% in metal element,V at% in metal element,Sc at% in metal element,W at% in metal element,Os at% in metal element,Ga at% in metal element,total metal mass ratio wt%,N at%,Sn at%,S at%,O at%,Ti at%,Ta at%,Nb at%,Si at%,W at%,C wt%,Particle diameter ㄗnmㄘ,Particle variance,carbon substrate type,carbon particle diameter(nm),support BET surface area(m2/g),special sturcture,particle,nanowire,core-shell,Reduction Temperature,Reduction Time/min,mircrowave(0/1),Reducing agent( chemical name in english),polyhydric alcohols,heat reduction,inorganic reducing agent,organic reducing agent,pH,Annealing Temperature,Annealing Time/h,Atomosphere h2,Atomosphere inert,ECSA m2/g,Mass Activity mA mg-1,Specific Activity mA cm-2,Half wave potential ㄗV vsRHEㄘ,Onset Potential ㄗV vsRHEㄘ,ADT cycles,Reduce in half wave potential  mV,Reduce in MA/ mA mg-1,Reduce in SA/mA cm-2,I/C Ratio(ionomer/catalyst),Area cm2,Cathodic Loading Amount mgPt cm-2,Anodic Platinum Loading Amount mgPt cm-2,Anodic catalyst type x wt% Pt/C,Membrane,membrane thickness,Hot Press Temperature,Hot Press Time min,Hot Press Pressure Mpa,Humidity %,GDE for 1,celltemp,Flowing rate of H2 ml min-1,flowing rate of cathode gas(O2/air),stoichiometry/anode,stoichiometry/cathode,stoich to flow anode,stoich to flow cathode,Back Pressure Mpa,"Current decay at 0.6V(ma,cm2)",Cathode gas oxygen ratio,Maximum Power Density mW cm-2,MPD caculated,qualified,Open Circuit Voltage V,Voltage 100mA cm0,Voltage 200mA cm0,Voltage 300mA cm0,Voltage 400mA cm0,Voltage 500mA cm0,Voltage 600mA cm0,Voltage 700mA cm0,Voltage 800mA cm0,Voltage 900mA cm0,Voltage 1000mA cm0,Voltage 1100mA cm0,Voltage 1200mA cm0,Voltage 1300mA cm0,Voltage 1400mA cm0,Voltage 1500mA cm0,Voltage 1600mA cm0,Voltage 1700mA cm0,Voltage 1800mA cm0,Voltage 1900mA cm0,Voltage 2000mA cm0,Voltage 2100mA cm0,Voltage 2200mA cm0,Voltage 2300mA cm0,Voltage 2400mA cm0,Voltage 2500mA cm0,Voltage 2600mA cm0,Voltage 2700mA cm0,Voltage 2800mA cm0,Voltage 2900mA cm0,Voltage 3000mA cm0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pt use,,Rand,Rand num,Year for plot
Low Pt loading high performance cathodes for PEM fuel cells,Zhigang Qi,United States,H Power Corporation,2003,Pt/C,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,3.1,,XC-72R,30,230,none,1,0,0,,,0,ethylene glycol,1,0,0,0,10,25,0,0,0,55,225,0.409090909,,,,,,,0.4286,10,0.12,1,20,nafion 112,50,130,3,,100,1,60,150,1500,1,10,150,1500,0,,0.21,637,637,0,0.97,0.835,0.788,0.76,0.74,0.71,0.69,0.66,0.64,0.61,0.59,0.56,0.53,0.49,0.45,0.4,0.3533,0.31239,0.27625,0.2441,0.2153,0.18936,0.16588,0.14452,0.12501,0.10711,0.09063,0.07542,0.06132,0.04823,0.03604,83.5,157.6,228,296,355,414,462,512,549,590,616,636,637,630,600,565.28,531.063,497.25,463.79,430.6,397.656,364.936,332.396,300.024,267.775,235.638,203.634,171.696,139.867,108.12,637,0.188383046,11,0.856819938,0.106614052,2003.106614
Low Pt loading high performance cathodes for PEM fuel cells,Zhigang Qi,United States,H Power Corporation,2003,Pt/C,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,3.1,,XC-72R,30,230,none,1,0,0,,,0,ethylene glycol,1,0,0,0,10,25,0,0,0,55,225,0.409090909,,,,,,,0.4286,10,0.12,1,20,nafion 112,50,130,3,,100,1,75,150,1500,1,10,150,1500,0,,0.21,714,714,1,0.97,0.84,0.795,0.77,0.75,0.73,0.71,0.68,0.665,0.65,0.62,0.6,0.57,0.54,0.51,0.46,0.415,0.37283,0.33565,0.30262,0.27308,0.24651,0.22249,0.20065,0.18073,0.16247,0.14567,0.13017,0.11583,0.10251,0.09012,84,159,231,300,365,426,476,532,585,620,660,684,702,714,690,664,633.811,604.17,574.978,546.16,517.671,489.478,461.495,433.752,406.175,378.742,351.459,324.324,297.279,270.36,714,0.168067227,12,0.626646053,0.032298329,2003.032298
Low Pt loading high performance cathodes for PEM fuel cells,Zhigang Qi,United States,H Power Corporation,2003,Pt/C,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,3.1,,XC-72R,30,230,none,1,0,0,,,0,ethylene glycol,1,0,0,0,10,25,0,0,0,55,225,0.409090909,,,,,,,0.4286,10,0.083,1,20,nafion 112,50,130,3,,100,1,35,150,1500,1,10,150,1500,0,,0.21,450,450,0,0.99,0.8,0.76,0.72,0.68,0.65,0.62,0.57,0.54,0.5,0.45,0.4,0.3533,0.31239,0.27625,0.2441,0.2153,0.18936,0.16588,0.14452,0.12501,0.10711,0.09063,0.07542,0.06132,0.04823,0.03604,0.02465,0.014,0.01,0.01,80,152,216,272,325,372,399,432,450,450,440,423.96,406.107,386.75,366.15,344.48,321.912,298.584,274.588,250.02,224.931,199.386,173.466,147.168,120.575,93.704,66.555,39.2,29,30,450,0.184444444,13,0.05412609,-0.160609891,2002.83939
Low Pt loading high performance cathodes for PEM fuel cells,Zhigang Qi,United States,H Power Corporation,2003,Pt/C,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,60,3.1,,XC-72R,30,230,none,1,0,0,,,0,ethylene glycol,1,0,0,0,10,25,0,0,0,55,225,0.409090909,,,,,,,0.4286,10,0.074,1,20,nafion 112,50,130,3,,100,1,35,150,1500,1,10,150,1500,0,,0.21,250,250,0,1,0.775,0.715,0.65,0.58,0.5,0.4,0.30909,0.23333,0.16923,0.11429,0.06667,0.025,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,77.5,143,195,232,250,240,216.363,186.664,152.307,114.29,73.337,30,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,250,0.296,14,0.474634998,-0.006362353,2002.993638
Low Pt loading high performance cathodes for PEM fuel cells,Zhigang Qi,United States,H Power Corporation,2003,Pt/C,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,3.1,,XC-72R,30,230,none,1,0,0,,,0,ethylene glycol,1,0,0,0,10,25,0,0,0,55,225,0.409090909,,,,,,,0.4286,10,0.043,1,20,nafion 112,50,130,3,,100,1,35,150,1500,1,10,150,1500,0,,0.21,382.83,382.83,0,0.96,0.78,0.74,0.7,0.655,0.62,0.565,0.53,0.47,0.425,0.38283,0.34565,0.31262,0.28308,0.25651,0.23249,0.21065,0.19073,0.17247,0.15567,0.14017,0.12583,0.11251,0.10012,0.08855,0.07773,0.06759,0.05807,0.0491,0.04065,0.03268,78,148,210,262,310,339,371,376,382.5,382.83,380.215,375.144,368.004,359.114,348.735,337.04,324.241,310.446,295.773,280.34,264.243,247.522,230.276,212.52,194.325,175.734,156.789,137.48,117.885,98.04,382.83,0.112321396,15,0.959200574,0.174148356,2003.174148
Low Pt loading high performance cathodes for PEM fuel cells,Zhigang Qi,United States,H Power Corporation,2003,Pt/C,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,3.1,,XC-72R,30,230,none,1,0,0,,,0,ethylene glycol,1,0,0,0,10,25,0,0,0,55,225,0.409090909,,,,,,,0.4286,10,0.022,1,20,nafion 112,50,130,3,,100,1,35,150,1500,1,10,150,1500,0,,0.21,250,250,0,0.91,0.76,0.71,0.65,0.575,0.5,0.4,0.30909,0.23333,0.16923,0.11429,0.06667,0.025,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,76,142,195,230,250,240,216.363,186.664,152.307,114.29,73.337,30,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,250,0.088,16,0.981229,0.207982049,2003.207982
Nonalloyed Carbon-Supported PtRu Catalysts for PEMFC Applications,F.A.de Brujin,Netherlands,Energy Research Centre of the Netherlands,2004,PtRu/C,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,3.1,,XC-72R,30,230,none,1,0,0,,,0,formaldehyde,0,0,0,1,7,25,0,0,0,55,225,0.409090909,,,,,,,0.5426,7,0.35,0.35,,nafion 105,125,130,1.5,4,100,1,80,,,,,0,0,0.15,,0.21,414,414,0,0.96,0.8,0.75,0.71,0.67,0.64,0.6,0.56,0.51,0.46,0.41,0.3633,0.32239,0.28625,0.2541,0.2253,0.19936,0.17588,0.15452,0.13501,0.11711,0.10063,0.08542,0.07132,0.05823,0.04604,0.03465,0.024,0.01401,0.01,0.01,80,150,213,268,320,360,392,408,414,410,399.63,386.868,372.125,355.74,337.95,318.976,298.996,278.136,256.519,234.22,211.323,187.924,164.036,139.752,115.1,90.09,64.8,39.228,29,30,414,0.845410628,17,0.228894826,-0.074249141,2003.925751
High-Performance PEMFCs at Elevated Temperatures Using Nafion 112 Membranes,Ying Song,United States,University of Texas at Austin,2005,Pt/C,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5,0,0,0,0,0,0,0,0,0,53.5,3.1,,XC-72R,30,230,none,1,0,0,,,0,ethylene glycol,1,0,0,0,10,25,0,0,0,61.7,217,0.351701783,,,,,,,0.33,25,0.5,0.4,65,nafion 112,50,,,,100,0,80,,,,,0,0,0,,0.21,742,742,1,0.98,0.8,0.77,0.75,0.71,0.69,0.67,0.66,0.64,0.63,0.62,0.6,0.59,0.57,0.53,0.49238,0.45898,0.42914,0.4023,0.37805,0.35602,0.33592,0.31751,0.30059,0.28497,0.27052,0.25711,0.24463,0.23299,0.2221,0.2119,80,154,225,284,345,402,462,512,567,620,660,708,741,742,738.57,734.368,729.538,724.14,718.295,712.04,705.432,698.522,691.357,683.928,676.3,668.486,660.501,652.372,644.09,635.7,742,0.673854447,18,0.281866286,-0.057730628,2004.942269
PtCo/C cathode catalyst for improved durability in PEMFCs,PingYu,United States,Hamilton Sunstrand Space Syst Int,2005,PtCo/C,71.52913571,0,0,0,0,0,28.47086429,0,0,0,0,0,0,0,0,0,0,0,0,0,52.1,0,0,0,0,0,0,0,0,0,47.9,4.55,,EC300,40,875,none,1,0,0,,,0,none,0,1,0,0,7,900,2,0,1,42,180,0.428571429,,,,,,,0.4286,25,0.4,0.4,46.5,nafion 112,50,,,,100,0,65,500,3000,,,0,0,0.1,,0.21,1226.55,1226.55,1,0.97,0.85,0.82,0.78,0.76,0.74,0.72,0.69,0.66,0.64,0.62,0.60086,0.58328,0.5671,0.55214,0.53827,0.52539,0.51338,0.50216,0.49166,0.4818,0.47254,0.46382,0.45559,0.44781,0.44045,0.43347,0.42685,0.42055,0.41456,0.40885,85,164,234,304,370,432,483,528,576,620,660.946,699.936,737.23,772.996,807.405,840.624,872.746,903.888,934.154,963.6,992.334,1020.404,1047.857,1074.744,1101.125,1127.022,1152.495,1177.54,1202.224,1226.55,1226.55,0.326117973,19,0.274726302,-0.059858059,2004.940142
Novel carbon aerogel-supported catalysts for PEM fuel cell application,A.Smirnova,United States,University of Connecticut,2005,Aerogel supported Pt,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,63,3.9,,carbon aerogel,,250,none,1,0,0,300,,0,ethylene glycol,1,0,0,0,10,25,0,0,0,71,217,0.305633803,,,,,,,0.33,6.25,0.2,0.2,35,nafion 117,175,,5,7,100,0,80,,,,,0,0,0,,0.21,621.03,621.03,0,0.95,0.7,0.66,0.63,0.61,0.6,0.58,0.55,0.53,0.5,0.47156,0.44592,0.4227,0.40157,0.38225,0.36452,0.3482,0.33312,0.31915,0.30617,0.29407,0.28277,0.2722,0.26228,0.25296,0.24419,0.23591,0.22808,0.22068,0.21366,0.20701,70,132,189,244,300,348,385,424,450,471.56,490.512,507.24,522.041,535.15,546.78,557.12,566.304,574.47,581.723,588.14,593.817,598.84,603.244,607.104,610.475,613.366,615.816,617.904,619.614,621.03,621.03,0.322045634,20,0.130564576,-0.112372631,2004.887627
High performance polymer electrolyte fuel cells with ultra-low Pt loading electrodes prepared by dual ion-beam assisted deposition,Sanjeev Mukerjee,United States,Northeastern University,2006,Pt/C,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,3.1,,home-made carbon,,,none,1,0,0,,,0,dual ion-beam assisted deposition,0,0,0,0,7,25,0,0,0,18,701.9,3.899444444,,,,,,,0.4286,5,0.24,0.24,1,nafion 112,50,115,7.5,1.3,100,1,80,675,525,4.5,3.5,675,525,0.3445,,0.21,1155,1155,1,0.98,0.91,0.88,0.84,0.83,0.81,0.8,0.795,0.78,0.76,0.74,0.72,0.71,0.7,0.68,0.66,0.64,0.62,0.6,0.59,0.57,0.55,0.51,0.5,0.48,0.45,0.425,0.4,0.38,0.35,0.32156,91,176,252,332,405,480,556.5,624,684,740,792,852,910,952,990,1024,1054,1080,1121,1140,1155,1122,1150,1152,1125,1105,1080,1064,1015,964.68,1155,0.207792208,21,0.530939576,0.007763192,2006.007763
The preparation of Pt/C catalysts using various carbon materials for the cathode of PEMFC,Jin-Nam Park,Korea,LG Chem,2006,Pt/C,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,40,3.4,,XC-72R,30,230,none,1,0,0,90,,0,ethylene glycol,1,0,0,0,10,25,0,0,0,88,180,0.204545455,,,,,,,,6.25,0.2,0.4,60,nafion 112,50,140,2,16,100,1,70,300,1000,,,0,0,0,,0.21,432,432,0,0.8,0.76,0.73,0.71,0.68,0.66,0.63,0.58,0.54,0.45,0.4,0.3533,0.31239,0.27625,0.2441,0.2153,0.18936,0.16588,0.14452,0.12501,0.10711,0.09063,0.07542,0.06132,0.04823,0.03604,0.02465,0.014,0.01,0.01,0.01,76,146,213,272,330,378,406,432,405,400,388.63,374.868,359.125,341.74,322.95,302.976,281.996,260.136,237.519,214.22,190.323,165.924,141.036,115.752,90.1,64.09,37.8,28,29,30,432,0.462962963,22,0.417378198,-0.020860527,2005.979139
